Timestamp,Luftfeuchtigkeit,Kabel Thermometer,,Temperatur Sensor 2,Luftdruck relativ,Luftdruck absolut,lux,RSSI,,,Ausensensor
05.12.2023 15:41:55,"89,4","3,75",,"4,53","968,79","1002,66","23,33",-56,,,
05.12.2023 16:10:09,"89,3","3,63",,"4,34","968,95","1002,83","8,33",-56,,,
05.12.2023 16:38:19,"90,2","3,38",,"4,17","969,3","1003,19","1,81",-56,,,
05.12.2023 17:06:32,"90,3","3,13",,"3,84","969,35","1003,24",0,-58,,,
05.12.2023 17:34:45,"90,4",3,,"3,66","969,51","1003,41",0,-57,,,
05.12.2023 18:03:02,"90,9",3,,"3,76","969,75","1003,66",0,-58,,,
05.12.2023 18:31:16,"91,4","2,88",,"3,63","969,81","1003,73",0,-58,,,
05.12.2023 18:59:36,"91,3","2,88",,"3,66","969,99","1003,91",0,-58,,,
05.12.2023 19:27:43,"91,4",3,,"3,61","970,21","1004,14",0,-60,,,
05.12.2023 19:55:59,92,3,,"3,72","970,48","1004,41",0,-59,,,
05.12.2023 20:24:14,"92,1","3,06",,"3,85","970,61","1004,55",0,-58,,,
05.12.2023 20:52:27,"92,3","3,19",,"3,97","970,72","1004,67",0,-59,,,
05.12.2023 21:20:42,"92,4","3,31",,"4,12","970,98","1004,94",0,-58,,,
05.12.2023 21:48:53,"92,7","3,5",,"4,35","971,09","1005,05",0,-58,,,
05.12.2023 22:17:09,"93,1","3,75",,"4,49","971,29","1005,26",0,-57,,,
05.12.2023 22:45:22,"93,3",4,,"4,78","971,46","1005,43",0,-56,,,
05.12.2023 23:13:36,"93,5","4,06",,"4,87","971,76","1005,74",0,-58,,,
05.12.2023 23:41:50,"93,4","4,19",,"4,92","972,08","1006,07",0,-57,,,
06.12.2023 00:10:04,"93,4","4,25",,"5,19","972,31","1006,31",0,-58,,,
06.12.2023 00:38:18,"93,3","4,31",,"5,19","972,36","1006,37",0,-57,,,
06.12.2023 01:06:41,"93,1","4,25",,"5,09","972,4","1006,4",0,-57,,,
06.12.2023 01:34:39,"93,2","4,25",,"5,06","972,38","1006,38",0,-57,,,
06.12.2023 02:02:55,"93,4","4,25",,"5,11","972,65","1006,66",0,-57,,,
06.12.2023 02:31:11,"93,2","4,31",,"5,16","972,68","1006,7",0,-50,,,
06.12.2023 02:59:28,"93,4","4,38",,"5,2","973,02","1007,04",0,-58,,,
06.12.2023 03:27:46,"93,6","4,31",,"5,35","972,97",1007,0,-57,,,
06.12.2023 03:56:00,"93,6","4,38",,"5,3","973,08","1007,11",0,-57,,,
06.12.2023 04:24:15,"93,6","4,44",,"5,38","973,22","1007,26",0,-56,,,
06.12.2023 04:52:30,"93,4","4,5",,"5,25","973,22","1007,25",0,-57,,,
06.12.2023 05:20:46,"93,3","4,31",,"5,15","973,44","1007,48",0,-56,,,
06.12.2023 05:48:54,"93,1","3,94",,"4,77","973,73","1007,78",0,-58,,,
06.12.2023 06:17:08,"92,9","3,75",,"4,52","973,98","1008,04",0,-57,,,
06.12.2023 06:45:19,"92,1","3,31",,"4,24","974,47","1008,54",0,-57,,,
06.12.2023 07:13:32,"91,4","2,94",,"3,87","974,77","1008,86",0,-57,,,
06.12.2023 07:41:45,"90,7","2,69",,"4,02","975,12","1009,22",0,-55,,,
06.12.2023 08:09:59,"90,5","2,69",,"4,33","975,56","1009,68","3,96",-56,,,
06.12.2023 08:38:15,"89,7","2,69",,"4,17","975,94","1010,06","6,67",-55,,,
06.12.2023 09:06:27,"89,6","2,81",,"4,47","976,35","1010,49","51,67",-55,,,
06.12.2023 09:34:44,"89,5",3,,"4,68","976,53","1010,68",50,-57,,,
06.12.2023 10:03:00,"89,3","3,25",,"4,94","976,82","1010,98",80,-57,,,
06.12.2023 10:31:16,"88,5","3,19",,"4,71","977,16","1011,33","38,33",-56,,,
06.12.2023 10:59:33,"88,1","3,56",,"4,93","977,39","1011,57","146,67",-56,,,
06.12.2023 11:27:51,"87,5","3,88",,"5,41","977,63","1011,81","161,67",-54,,,
06.12.2023 11:56:02,"87,1","3,75",,"5,2","977,65","1011,84","101,67",-49,,,
06.12.2023 12:24:19,"87,1","3,81",,"5,35","977,7","1011,89","103,33",-54,,,
06.12.2023 12:52:33,"86,6","4,06",,"5,42","977,53","1011,71","153,33",-55,,,
06.12.2023 13:20:51,"86,7","4,38",,"5,81","977,86","1012,06","173,33",-54,,,
06.12.2023 13:49:11,"85,9","4,13",,"5,69","978,05","1012,25","76,67",-54,,,
06.12.2023 14:17:21,"86,4","4,06",,"5,26","978,14","1012,35","118,33",-54,,,
06.12.2023 14:45:34,"87,5",4,,"5,19","978,27","1012,47",110,-55,,,
06.12.2023 15:13:47,"87,5","3,63",,"5,29","978,46","1012,68",115,-55,,,
06.12.2023 15:42:01,"86,1","3,56",,"5,28","978,77",1013,"31,67",-57,,,
06.12.2023 16:10:18,"86,4","3,38",,"5,35","978,98","1013,22","8,33",-53,,,
06.12.2023 16:38:29,"86,2","3,31",,"4,87","979,49","1013,75","5,32",-55,,,
06.12.2023 17:06:42,"86,3","3,25",,"4,63","979,98","1014,25",0,-56,,,
06.12.2023 17:34:58,86,"3,13",,"4,92","980,34","1014,62",0,-50,,,
06.12.2023 18:03:12,"85,3","2,81",,"4,87","980,68","1014,98",0,-54,,,
06.12.2023 18:31:28,"85,4","2,81",,"4,61","981,12","1015,43",0,-54,,,
06.12.2023 18:59:43,"84,9","2,75",,"4,72","981,48","1015,8",0,-54,,,
06.12.2023 19:27:57,"85,5","2,75",,"4,72","981,64","1015,96",0,-55,,,
06.12.2023 19:56:13,"85,1","2,94",,"4,68","981,6","1015,92",0,-53,,,
06.12.2023 20:24:28,"85,2","3,13",,"4,68","981,81","1016,14",0,-55,,,
06.12.2023 20:52:43,"84,7","2,31",,"4,24","981,91","1016,25",0,-54,,,
06.12.2023 21:20:52,"85,4","1,5",,"3,66","981,91","1016,25",0,-55,,,
06.12.2023 21:49:09,"86,7","1,13",,"3,33","981,97","1016,31",0,-49,,,
06.12.2023 22:17:19,"86,4","0,81",,"3,03","982,26","1016,6",0,-48,,,
06.12.2023 22:45:35,87,"0,63",,"2,77","982,42","1016,78",0,-52,,,
06.12.2023 23:13:46,"88,1","0,63",,"2,59","982,48","1016,84",0,-52,,,
06.12.2023 23:41:59,"87,7","-0,06",,"2,29","982,62","1016,98",0,-51,,,
07.12.2023 00:10:12,"87,2","0,5",,"2,27","982,82","1017,19",0,-52,,,
07.12.2023 00:38:19,"88,9","-0,31",,"1,75","983,08","1017,46",0,-53,,,
07.12.2023 01:06:35,"88,9","0,38",,"1,96","983,13","1017,51",0,-52,,,
07.12.2023 01:34:49,"89,8",0,,"1,82","983,19","1017,57",0,-51,,,
07.12.2023 02:03:07,"89,4","0,19",,"2,08","983,34","1017,73",0,-50,,,
07.12.2023 02:31:21,"89,7",1,,"2,55","983,54","1017,93",0,-52,,,
07.12.2023 02:59:36,90,"0,38",,"2,29","983,48","1017,87",0,-52,,,
07.12.2023 03:27:50,89,"0,63",,"2,5","983,7","1018,09",0,-51,,,
07.12.2023 03:56:07,"89,4","0,75",,"2,59","983,55","1017,94",0,-51,,,
07.12.2023 04:24:21,"89,3","0,88",,"2,72","983,67","1018,07",0,-52,,,
07.12.2023 04:52:33,"89,2","0,94",,"2,67","983,72","1018,12",0,-52,,,
07.12.2023 05:20:46,"89,2","0,94",,"2,67","983,79","1018,19",0,-53,,,
07.12.2023 05:49:02,"89,8",1,,"2,73","983,94","1018,35",0,-54,,,
07.12.2023 06:17:17,"89,3","0,81",,"2,53","983,71","1018,11",0,-53,,,
07.12.2023 06:45:32,"89,6","0,56",,"2,28","984,09","1018,5",0,-53,,,
07.12.2023 07:13:45,"89,6","0,31",,"2,04","984,02","1018,43",0,-53,,,
07.12.2023 07:41:58,"90,4",0,,"1,48","983,74","1018,14",0,-54,,,
07.12.2023 08:10:11,"91,3","0,31",,"1,85","984,4","1018,82","10,64",-55,,,
07.12.2023 08:38:25,"91,3","0,25",,"2,13","984,25","1018,67",20,-54,,,
07.12.2023 09:06:42,"90,3",0,,"1,65","984,02","1018,43",65,-54,,,
07.12.2023 09:34:54,"91,1","0,13",,"1,61","983,7","1018,09","151,67",-53,,,
07.12.2023 10:03:06,"91,2","0,19",,"1,79","983,51","1017,9","128,33",-54,,,
07.12.2023 10:31:23,"90,7","0,44",,"2,26","983,61","1018,01","331,67",-54,,,
07.12.2023 10:59:41,"89,4",1,,"2,88","983,59","1017,98","316,67",-54,,,
07.12.2023 11:27:53,87,"0,88",,"2,72","983,35","1017,74","298,33",-54,,,
07.12.2023 11:56:15,"86,5","2,06",,"3,81","982,59","1016,95",585,-54,,,
07.12.2023 12:24:32,"84,2",2,,"3,77","982,29","1016,64","448,33",-54,,,
07.12.2023 12:53:02,"83,7","5,13",,"9,08","981,01","1015,32","2686,67",-54,,,
07.12.2023 13:20:54,"72,7","3,81",,"5,58","981,2","1015,51","1091,67",-53,,,
07.12.2023 13:49:05,"79,9",3,,"4,66","981,15","1015,46","558,33",-56,,,
07.12.2023 14:17:19,"82,4","2,94",,"4,67","980,98","1015,28",620,-48,,,
07.12.2023 14:45:35,"82,8","2,63",,"4,29","980,91","1015,21","353,33",-49,,,
07.12.2023 15:13:47,84,"1,69",,"3,09","980,24","1014,51",215,-48,,,
07.12.2023 15:41:53,"86,8","1,5",,"2,64","979,73","1013,99","141,67",-49,,,
07.12.2023 16:10:08,"88,6","1,19",,"2,24","979,61","1013,86","33,33",-48,,,
07.12.2023 16:38:22,"88,9","0,88",,2,"979,23","1013,47","6,45",-53,,,
07.12.2023 17:06:30,"89,5","1,06",,"1,88","979,03","1013,27",0,-54,,,
07.12.2023 17:34:46,"90,4",1,,"1,96","978,96","1013,2",0,-54,,,
07.12.2023 18:02:56,"90,6","0,81",,"1,82","978,61","1012,83",0,-52,,,
07.12.2023 18:31:08,"91,4","0,56",,"1,54","978,14","1012,34",0,-56,,,
07.12.2023 18:59:25,92,"0,38",,"1,54","978,02","1012,22",0,-57,,,
07.12.2023 19:27:33,"92,3","0,13",,"1,23","977,61","1011,79",0,-55,,,
07.12.2023 19:55:47,"92,6","0,31",,"1,31","977,51","1011,69",0,-57,,,
07.12.2023 20:24:04,"92,5","0,5",,"1,9","977,34","1011,51",0,-55,,,
07.12.2023 20:52:20,91,"0,06",,"1,93","977,01","1011,17",0,-56,,,
07.12.2023 21:20:32,"89,7","0,31",,"1,9","976,41","1010,55",0,-54,,,
07.12.2023 21:48:46,"90,1","0,56",,"1,97","976,11","1010,24",0,-57,,,
07.12.2023 22:17:00,"87,9","0,81",,"1,82","975,34","1009,45",0,-51,,,
07.12.2023 22:45:15,"84,3",1,,"2,25","974,79","1008,88",0,-51,,,
07.12.2023 23:13:28,"83,6",1,,"2,46","974,3","1008,37",0,-55,,,
07.12.2023 23:41:42,"82,2","1,19",,"2,51","974,3","1008,37",0,-55,,,
08.12.2023 00:09:52,"80,4","1,25",,"2,26","974,22","1008,29",0,-56,,,
08.12.2023 00:38:07,"78,6",1,,"2,13","973,48","1007,52",0,-56,,,
08.12.2023 01:06:21,"80,7","1,06",,"2,48","973,05","1007,07",0,-57,,,
08.12.2023 01:34:35,81,"0,94",,"2,26","972,89","1006,91",0,-57,,,
08.12.2023 02:02:48,"81,3",1,,"2,56","972,8","1006,82",0,-55,,,
08.12.2023 02:31:01,"82,1","0,88",,"2,62","972,9","1006,93",0,-55,,,
08.12.2023 02:59:17,"82,8","0,88",,"2,62","972,94","1006,97",0,-58,,,
08.12.2023 03:27:32,"83,5",1,,"2,59","972,77","1006,79",0,-57,,,
08.12.2023 03:55:41,"81,6",1,,"2,7","972,54","1006,55",0,-55,,,
08.12.2023 04:23:56,"82,5","1,06",,"2,78","971,94","1005,93",0,-55,,,
08.12.2023 04:52:09,"83,7",1,,"2,79","971,55","1005,52",0,-56,,,
08.12.2023 05:20:22,"84,8",1,,"2,88","971,72","1005,7",0,-55,,,
08.12.2023 05:48:36,86,"1,06",,"2,85","971,75","1005,73",0,-56,,,
08.12.2023 06:16:52,"86,4","1,19",,"2,89","971,79","1005,77",0,-56,,,
08.12.2023 06:45:01,"87,4","1,38",,"2,68","971,7","1005,68",0,-55,,,
08.12.2023 07:13:16,"88,5","1,5",,"2,65","971,8","1005,78",0,-54,,,
08.12.2023 07:41:31,"89,4","1,69",,"3,29","971,67","1005,65",0,-55,,,
08.12.2023 08:09:47,"89,5","2,06",,"3,33","972,05","1006,04","1,25",-56,,,
08.12.2023 08:38:00,"90,3","2,5",,"3,49","972,19","1006,18","17,54",-56,,,
08.12.2023 09:06:18,"91,2","2,81",,"3,71","971,99","1005,98",35,-56,,,
08.12.2023 09:34:30,"92,2","3,13",,4,"972,23","1006,23",55,-56,,,
08.12.2023 10:02:48,"92,5","3,5",,"4,29","972,32","1006,32","53,33",-56,,,
08.12.2023 10:31:05,"93,1","3,88",,"4,8","972,56","1006,57","81,67",-56,,,
08.12.2023 10:59:23,"93,3","4,38",,"5,08","972,54","1006,55",110,-56,,,
08.12.2023 11:27:42,"93,7","4,75",,"5,55","972,34","1006,34","111,67",-55,,,
08.12.2023 11:56:00,"93,5","5,31",,"6,18","972,44","1006,44","136,67",-57,,,
08.12.2023 12:24:18,"92,6","5,25",,"6,27","972,63","1006,64","113,33",-56,,,
08.12.2023 12:52:31,"92,2","5,25",,"6,48","972,71","1006,72","136,67",-56,,,
08.12.2023 13:20:47,"91,4","5,38",,"6,41",973,"1007,02","101,67",-58,,,
08.12.2023 13:49:04,"91,8","5,5",,"6,72",973,"1007,03",60,-56,,,
08.12.2023 14:17:19,"91,6","5,56",,"6,82","973,1","1007,13",95,-57,,,
08.12.2023 14:45:35,"90,9","5,63",,"6,81","973,35","1007,38",80,-55,,,
08.12.2023 15:13:53,"91,2","5,75",,"6,88","973,49","1007,53","68,33",-56,,,
08.12.2023 15:42:07,"92,7","5,81",,"6,93","973,77","1007,82","28,33",-55,,,
08.12.2023 16:10:18,"93,1","5,81",,"7,05","973,95","1008,01",5,-55,,,
08.12.2023 16:38:34,"92,7","5,81",,"7,09","974,2","1008,27","1,02",-56,,,
08.12.2023 17:06:50,"92,4","5,88",,"6,99","974,59","1008,67",0,-53,,,
08.12.2023 17:35:06,"93,1","5,75",,"6,88","974,82","1008,91",0,-54,,,
08.12.2023 18:03:18,"92,9","5,75",,"6,93","975,08","1009,18",0,-55,,,
08.12.2023 18:31:32,"92,8","5,75",,"7,03","975,51","1009,62",0,-52,,,
08.12.2023 18:59:47,"92,4","5,69",,"7,03","975,73","1009,85",0,-53,,,
08.12.2023 19:28:02,"92,5","5,69",,"7,1",976,"1010,12",0,-54,,,
08.12.2023 19:56:17,"92,4","5,75",,"6,97","976,07","1010,2",0,-54,,,
08.12.2023 20:24:32,"91,9","5,81",,"7,07","976,31","1010,45",0,-54,,,
08.12.2023 20:52:49,"92,1","5,81",,"7,05","976,52","1010,67",0,-54,,,
08.12.2023 21:21:01,"92,1","5,94",,"7,11","976,72","1010,87",0,-55,,,
08.12.2023 21:49:17,"92,5",6,,"7,07","976,91","1011,07",0,-54,,,
08.12.2023 22:17:33,"92,5",6,,"7,21","976,87","1011,03",0,-55,,,
08.12.2023 22:45:49,"92,8","6,06",,"7,08","977,22","1011,39",0,-54,,,
08.12.2023 23:14:04,93,"6,06",,"6,95","977,15","1011,32",0,-55,,,
08.12.2023 23:42:19,"93,3","6,06",,"7,17","977,16","1011,33",0,-52,,,
09.12.2023 00:10:35,"93,2","6,06",,"7,18","977,3","1011,48",0,-58,,,
09.12.2023 00:38:46,"92,5","6,06",,"7,36","977,46","1011,64",0,-55,,,
09.12.2023 01:07:02,"92,5",6,,"7,25","977,6","1011,78",0,-54,,,
09.12.2023 01:35:17,"92,8",6,,"7,38","977,74","1011,93",0,-59,,,
09.12.2023 02:03:35,"92,3",6,,"7,41","977,98","1012,18",0,-56,,,
09.12.2023 02:31:47,"92,1","6,13",,"7,41","978,17","1012,38",0,-55,,,
09.12.2023 03:00:04,"92,6","6,13",,"7,3","978,13","1012,33",0,-50,,,
09.12.2023 03:28:22,"92,8","6,06",,"7,27","977,68","1011,87",0,-56,,,
09.12.2023 03:56:35,"92,6","5,94",,"7,24","977,24","1011,41",0,-55,,,
09.12.2023 04:24:49,"92,8","5,56",,"6,96","977,32","1011,5",0,-54,,,
09.12.2023 04:53:04,"92,7","5,88",,"6,8","977,36","1011,53",0,-56,,,
09.12.2023 05:21:19,"92,7","5,88",,"6,93","977,23","1011,4",0,-55,,,
09.12.2023 05:49:34,"93,2","5,75",,"7,05","976,88","1011,04",0,-54,,,
09.12.2023 06:17:48,"92,6","5,81",,"6,8","976,58","1010,73",0,-52,,,
09.12.2023 06:46:06,"93,2","6,13",,"6,91","976,17","1010,31",0,-50,,,
09.12.2023 07:14:25,"93,7","6,25",,"7,05","976,14","1010,28",0,-50,,,
09.12.2023 07:42:37,"93,7","6,31",,"7,1","976,03","1010,16",0,-54,,,
09.12.2023 08:10:55,"93,5","6,44",,"7,23","976,1","1010,23","12,56",-54,,,
09.12.2023 08:39:12,"92,5","6,44",,"7,21","976,24","1010,37","8,33",-55,,,
09.12.2023 09:07:23,"92,1","6,44",,"7,13","975,77","1009,9","43,33",-54,,,
09.12.2023 09:35:40,"91,5","6,63",,"7,35","975,5","1009,61","108,33",-56,,,
09.12.2023 10:03:59,"90,5","6,69",,"7,53","975,06","1009,16","176,67",-56,,,
09.12.2023 10:32:17,"89,5","6,94",,"7,83","974,73","1008,81","308,33",-59,,,
09.12.2023 11:00:35,"88,9","7,06",,"7,92","974,58","1008,66",695,-52,,,
09.12.2023 11:28:48,"88,2","7,06",,"7,98",974,"1008,06","176,67",-54,,,
09.12.2023 11:57:00,"87,2","7,06",,"7,91","972,78","1006,8","233,33",-54,,,
09.12.2023 12:25:18,"86,2","7,44",,"8,1","972,18","1006,17",335,-53,,,
09.12.2023 12:53:41,"83,8","7,81",,"8,73","971,39","1005,36","801,25",-55,,,
09.12.2023 13:21:59,"82,1","7,81",,"8,7","970,88","1004,83","642,08",-52,,,
09.12.2023 13:50:12,"81,8","7,56",,"8,38","969,96","1003,88","168,33",-56,,,
09.12.2023 14:18:27,"82,4",7,,"7,8","969,5","1003,4",60,-55,,,
09.12.2023 14:46:38,"85,7","6,38",,"7,14","968,62","1002,5",90,-54,,,
09.12.2023 15:14:53,"89,3","6,13",,"6,98","967,74","1001,58",85,-53,,,
09.12.2023 15:43:07,"89,7","6,06",,"6,69","966,9","1000,71","38,33",-53,,,
09.12.2023 16:11:23,"90,4","5,94",,"6,62","965,96","999,74",5,-55,,,
09.12.2023 16:39:37,"90,9","5,75",,"6,49","964,84","998,58","2,15",-54,,,
09.12.2023 17:07:53,"91,3","5,63",,"6,39","963,94","997,64",0,-53,,,
09.12.2023 17:36:09,"92,6","5,63",,"6,44","963,42","997,11",0,-53,,,
09.12.2023 18:04:24,"92,9","5,75",,"6,39","962,57","996,23",0,-54,,,
09.12.2023 18:32:40,"93,3","5,94",,"6,59","962,62","996,28",0,-53,,,
09.12.2023 19:00:59,"93,2","6,06",,"6,83","962,29","995,94",0,-53,,,
09.12.2023 19:29:13,"93,2","6,19",,"6,79","961,41","995,03",0,-52,,,
09.12.2023 19:57:29,"93,5","6,56",,"7,1","961,55","995,17",0,-56,,,
09.12.2023 20:25:48,"93,7","7,13",,"7,53","961,14","994,75",0,-54,,,
09.12.2023 20:54:06,"93,9","7,56",,"8,02","961,42","995,04",0,-55,,,
09.12.2023 21:22:27,"93,9","7,88",,"8,39","962,14","995,79",0,-54,,,
09.12.2023 21:50:45,"94,5","8,44",,"8,8","963,02","996,7",0,-54,,,
09.12.2023 22:19:04,"94,6","8,63",,"8,98","963,62","997,32",0,-54,,,
09.12.2023 22:47:22,"94,5","8,38",,"8,93","964,54","998,27",0,-53,,,
09.12.2023 23:15:34,"93,6","7,69",,"8,34","965,16","998,91",0,-53,,,
09.12.2023 23:43:46,"91,7","7,5",,"7,92","966,11","999,89",0,-51,,,
10.12.2023 00:12:03,"90,5","7,94",,"8,3","967,04","1000,86",0,-51,,,
10.12.2023 00:40:19,"90,4","7,88",,"8,38","967,54","1001,37",0,-58,,,
10.12.2023 01:08:32,"89,7","8,06",,"8,45","968,32","1002,18",0,-59,,,
10.12.2023 01:36:44,"89,5","8,13",,"8,54","968,64","1002,51",0,-58,,,
10.12.2023 02:04:59,"88,4",8,,"8,54","969,23","1003,12",0,-53,,,
10.12.2023 02:33:13,"87,5","8,06",,"8,51","969,55","1003,46",0,-58,,,
10.12.2023 03:01:24,86,"6,81",,"7,64","970,26","1004,19",0,-58,,,
10.12.2023 03:29:36,"89,6","6,31",,"7,05","970,37","1004,3",0,-58,,,
10.12.2023 03:57:54,"91,4","6,31",,"7,09","970,87","1004,82",0,-58,,,
10.12.2023 04:26:07,"91,3","6,63",,"7,21","971,23","1005,19",0,-59,,,
